City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
136,2020-04-09 13:49:30,IN,Kavaratti,10.57,72.64,84.49,69,11.14,0
137,2020-04-09 13:49:30,TL,Airai,-8.93,125.41,60.31,72,0.89,37
138,2020-04-09 13:49:30,TZ,Dodoma,-6.17,35.74,82.4,54,6.93,20
139,2020-04-09 13:49:30,AU,Port Augusta,-32.5,137.77,57.2,82,3.06,0
140,2020-04-09 13:47:20,GL,Narsaq,60.92,-46.05,46.4,20,29.97,75
141,2020-04-09 13:49:31,MW,Chipoka,-13.99,34.52,83.25,49,12.84,7
142,2020-04-09 13:49:31,RU,Tiksi,71.69,128.87,33.31,90,29.17,100
143,2020-04-09 13:49:31,RU,Provideniya,64.38,-173.3,6.15,92,5.35,100
144,2020-04-09 13:46:51,OM,Salalah,17.02,54.09,86.0,66,10.29,0
145,2020-04-09 13:49:31,AO,Benguela,-12.58,13.41,84.2,70,9.17,40
146,2020-04-09 13:49:31,AO,Camabatela,-8.19,15.38,76.51,60,3.36,91
147,2020-04-09 13:49:31,NE,Filingué,14.35,3.32,106.99,9,5.12,81
148,2020-04-09 13:44:38,US,Saint Paul Harbor,57.79,-152.41,30.2,63,19.46,1
149,2020-04-09 13:45:09,MX,Cabo San Lucas,22.89,-109.91,70.0,64,10.29,75
150,2020-04-09 13:49:31,US,Alpine,32.84,-116.77,55.4,87,5.03,90
151,2020-04-09 13:49:31,KE,Wajir,1.75,40.06,90.55,41,9.57,90
152,2020-04-09 13:49:31,PT,Vila,42.03,-8.16,62.01,100,10.29,90
153,2020-04-09 13:49:32,CA,Torbay,47.67,-52.73,36.0,69,5.82,75
154,2020-04-09 13:49:32,BD,Teknāf,20.86,92.31,77.85,86,5.99,0
155,2020-04-09 13:49:32,NO,Berlevåg,70.86,29.09,23.95,91,21.68,100
156,2020-04-09 13:49:32,VE,Caraballeda,10.61,-66.85,80.01,56,4.56,100
157,2020-04-09 13:49:32,GR,Karpathos,35.51,27.21,62.6,59,24.16,20
158,2020-04-09 13:49:32,CA,Pangnirtung,66.15,-65.71,10.4,66,3.36,20
159,2020-04-09 13:49:32,GF,Sinnamary,5.38,-52.95,82.65,73,13.2,99
160,2020-04-09 13:49:32,RU,Khatanga,71.97,102.5,26.51,94,15.35,99
161,2020-04-09 13:49:32,MU,Mahébourg,-20.41,57.7,82.4,74,17.22,75
